1,536,2,1397,8.62346%
1,563,9,1395,8.61111%
1,532,4,1393,8.59877%
1,30,11,1389,8.57407%
1,127,15,1386,8.55556%
1,585,3,1383,8.53704%
1,552,7,1382,8.53086%
1,507,5,1377,8.5%
1,583,1,1376,8.49383%
1,501,3,1372,8.46914%
1,586,10,1371,8.46296%
1,592,9,1364,8.41975%
1,152,11,1359,8.38889%
1,457,6,1358,8.38272%
1,521,8,1355,8.3642%
1,530,9,1354,8.35802%
1,585,12,1353,8.35185%
1,521,14,1352,8.34568%
1,435,9,1351,8.33951%
1,123,10,1348,8.32099%
1,380,8,1339,8.26543%
1,532,2,1338,8.25926%
1,550,1,1336,8.24691%
1,565,7,1333,8.2284%
1,487,4,1332,8.22222%
1,135,7,1330,8.20988%
1,350,10,1329,8.2037%
1,19,4,1325,8.17901%
1,556,11,1308,8.07407%
1,344,4,1294,7.98765%
1,596,15,1293,7.98148%
1,455,11,1291,7.96914%
1,532,1,1290,7.96296%
1,523,1,1288,7.95062%
1,583,11,1287,7.94444%
1,575,5,1284,7.92593%
1,290,11,1280,7.90124%
1,591,12,1279,7.89506%
1,309,1,1276,7.87654%
1,150,12,1268,7.82716%
1,552,3,1266,7.81482%
1,590,10,1258,7.76543%
1,274,9,1255,7.74691%
1,576,3,1254,7.74074%
1,588,5,1253,7.73457%
1,371,6,1251,7.72222%
1,189,15,1248,7.7037%
1,508,5,1241,7.66049%
1,578,4,1237,7.6358%
1,588,2,1228,7.58025%
1,380,3,1226,7.5679%
1,565,8,1224,7.55556%
1,535,1,1222,7.54321%
1,563,3,1221,7.53704%
1,527,1,1220,7.53086%
1,350,9,1219,7.52469%
1,507,11,1218,7.51852%
1,586,12,1214,7.49383%
1,589,4,1210,7.46914%
1,565,3,1209,7.46296%
1,380,10,1206,7.44444%
1,367,3,1205,7.43827%
1,479,13,1204,7.4321%
1,519,9,1203,7.42593%
1,588,4,1202,7.41975%
1,486,1,1201,7.41358%
1,499,2,1198,7.39506%
1,591,13,1197,7.38889%
1,507,6,1196,7.38272%
1,30,3,1191,7.35185%
1,595,2,1189,7.33951%
1,535,8,1188,7.33333%
1,316,5,1181,7.29012%
1,559,3,1180,7.28395%
1,350,4,1177,7.26543%
1,36,11,1174,7.24691%
1,90,14,1173,7.24074%
1,452,6,1172,7.23457%
1,581,1,1168,7.20988%
1,574,12,1167,7.2037%
1,214,4,1165,7.19136%
1,522,2,1164,7.18518%
1,539,1,1163,7.17901%
1,380,5,1161,7.16667%
1,152,1,1157,7.14198%
1,584,10,1155,7.12963%
1,595,11,1154,7.12346%
1,274,6,1153,7.11728%
1,597,5,1150,7.09877%
1,507,14,1142,7.04938%
1,152,9,1138,7.02469%
1,522,4,1137,7.01852%
1,504,6,1136,7.01235%
1,588,6,1133,6.99383%
1,6,14,1130,6.97531%
1,520,15,1129,6.96914%
1,581,12,1127,6.95679%
1,543,9,1124,6.93827%
1,518,14,1117,6.89506%
1,499,14,1116,6.88889%
1,535,4,1114,6.87654%
1,499,6,1113,6.87037%
1,525,7,1111,6.85802%
1,539,2,1109,6.84568%
1,559,13,1107,6.83333%
1,550,13,1105,6.82099%
1,552,6,1099,6.78395%
1,263,10,1093,6.74691%
1,529,11,1090,6.72839%
1,528,7,1088,6.71605%
1,568,5,1087,6.70988%
1,304,12,1085,6.69753%
1,597,10,1083,6.68519%
1,486,3,1081,6.67284%
1,544,2,1080,6.66667%
1,584,13,1077,6.64815%
1,317,4,1067,6.58642%
1,460,2,1065,6.57407%
1,518,13,1063,6.56173%
1,567,3,1062,6.55556%
1,455,15,1059,6.53704%
1,586,9,1056,6.51852%
